,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,PseEIIP,TNC,RCKmer5,SCPseTNC,PCPseTNC,ANF,NAC,TAC
4mC_A.thaliana2,0.8153798531882904,0.8222782347218537,0.8176350933050323,0.7540461660918015,0.6373485451490227,0.6372601043601309,0.6197930485539931,0.6215618643318298,0.6253205978597329,0.6245246307597063,0.6226231537985318,0.6002918546033431,0.5631025028743256,0.5579729371185991
4mC_C.elegans2,0.8843269591301087,0.8830146231721034,0.8828271466066742,0.7545931758530183,0.60498687664042,0.6314210723659542,0.5620547431571054,0.5603674540682415,0.588676415448069,0.5659917510311211,0.5644919385076865,0.6434195725534309,0.5033745781777278,0.5288713910761155
4mC_C.equisetifolia,0.7950819672131147,0.7704918032786885,0.7650273224043715,0.680327868852459,0.7568306010928961,0.7650273224043715,0.7377049180327869,0.7704918032786885,0.7786885245901639,0.7650273224043715,0.7540983606557377,0.6010928961748634,0.7158469945355191,0.7431693989071039
4mC_D.melanogaster2,0.9016015200868621,0.9014657980456026,0.9048588490770901,0.8046959826275787,0.7027687296416938,0.7038545059717698,0.6847176981541803,0.6868892508143323,0.6883821932681867,0.6890608034744843,0.6904180238870793,0.6324647122692725,0.5826547231270358,0.624728555917481
4mC_E.coli2,0.9126984126984127,0.873015873015873,0.873015873015873,0.7380952380952381,0.6388888888888888,0.6150793650793651,0.5992063492063492,0.5992063492063492,0.6150793650793651,0.6071428571428571,0.5714285714285714,0.623015873015873,0.5119047619047619,0.5873015873015873
4mC_F.vesca,0.8119777158774373,0.8079260572296784,0.8033046340845784,0.6961889085844517,0.6794758166624462,0.6923904786021777,0.6801088883261586,0.6754874651810585,0.679982273993416,0.6752342365155736,0.678083059002279,0.6054697391744746,0.6398455305140542,0.6025576095213978
4mC_G.pickeringii2,0.8235537190082645,0.8227272727272728,0.8239669421487603,0.7578512396694215,0.5834710743801653,0.5764462809917356,0.5925619834710744,0.5896694214876033,0.5681818181818182,0.5764462809917356,0.5694214876033058,0.5714876033057851,0.5148760330578512,0.5607438016528926
4mC_G.subterraneus2,0.7349420482614478,0.7301919057571727,0.7259167775033251,0.6398441953258598,0.5453163594907847,0.5486414592437773,0.5349610488314649,0.5349610488314649,0.572962188865666,0.5266007980239407,0.5209006270188106,0.5422762682880486,0.4968649059471784,0.5526315789473685
4mC_S.cerevisiae,0.6890798786653185,0.6885743174924166,0.679474216380182,0.5707785642062689,0.5677451971688574,0.5733063700707786,0.6001011122345804,0.5657229524772498,0.5556117290192113,0.5687563195146613,0.589989888776542,0.5692618806875632,0.5429726996966633,0.5237613751263903
4mC_Tolypocladium,0.6971160120057419,0.7134281612945321,0.7003131932663448,0.6156205141589456,0.555852799164818,0.5649223541693854,0.5485449562834399,0.5358214798381835,0.5443037974683544,0.5561137935534386,0.543325068511027,0.5435860628996476,0.5167036408717213,0.5202923137152551
