,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,PseEIIP,TNC,RCKmer5,SCPseTNC,PCPseTNC,ANF,NAC,TAC
4mC_A.thaliana2,0.8284690899442823,0.8287344123109578,0.8293534978332007,0.790704873087468,0.6381002918546034,0.6532236667551075,0.6240382064208013,0.6197046077651013,0.6368179004156717,0.6231537985318829,0.6197488281595472,0.6124966834704165,0.5679667462633766,0.5654019633855134
4mC_C.elegans2,0.8895763029621298,0.900824896887889,0.891451068616423,0.8260217472815898,0.6134233220847394,0.6407949006374203,0.5712410948631421,0.5789276340457443,0.5976752905886764,0.5650543682039745,0.5704911886014248,0.6777277840269966,0.5024371953505812,0.547806524184477
4mC_C.equisetifolia,0.7978142076502732,0.7704918032786885,0.8005464480874317,0.6557377049180327,0.7759562841530054,0.7568306010928961,0.773224043715847,0.7786885245901639,0.7513661202185792,0.7595628415300546,0.7814207650273224,0.6120218579234973,0.7540983606557377,0.7759562841530054
4mC_D.melanogaster2,0.9139522258414766,0.9132736156351792,0.9178881650380022,0.8538273615635179,0.7090119435396308,0.7117263843648208,0.6868892508143323,0.6913680781758957,0.7000542888165038,0.6919109663409337,0.6948968512486428,0.6472584147665581,0.5845548317046688,0.6270358306188925
4mC_E.coli2,0.8888888888888888,0.876984126984127,0.8849206349206349,0.75,0.5833333333333334,0.5595238095238095,0.6071428571428571,0.6309523809523809,0.5714285714285714,0.6111111111111112,0.5873015873015873,0.6031746031746031,0.5238095238095238,0.6428571428571429
4mC_F.vesca,0.8250189921499114,0.8176753608508484,0.8176120536844771,0.7154975943276779,0.6823246391491516,0.6949860724233984,0.6790959736642188,0.6777665231704229,0.6801721954925297,0.6827044821473791,0.679982273993416,0.6266776399088377,0.6428209673335021,0.6249050392504432
4mC_G.pickeringii2,0.8115702479338843,0.8396694214876033,0.8301652892561984,0.7508264462809917,0.6086776859504133,0.5995867768595041,0.5950413223140496,0.5925619834710744,0.5892561983471074,0.578099173553719,0.5809917355371901,0.5814049586776859,0.5214876033057851,0.5632231404958677
4mC_G.subterraneus2,0.7531825954778644,0.7508075242257267,0.7457723731711952,0.6404142124263728,0.5495914877446323,0.5492114763442904,0.5245107353220596,0.5329659889796694,0.5821774653239598,0.5291658749762493,0.5291658749762493,0.5446513395401862,0.4991449743492305,0.5451263537906137
4mC_S.cerevisiae,0.6946410515672397,0.6870576339737108,0.6804853387259858,0.5682507583417593,0.5940343781597573,0.5682507583417593,0.5874620829120324,0.5819009100101112,0.557633973710819,0.5854398382204247,0.5606673407482305,0.5940343781597573,0.5465116279069767,0.5303336703741153
4mC_Tolypocladium,0.7157118621949629,0.703249380138327,0.7053373352472921,0.6209708991256688,0.5679237896385227,0.5658358345295577,0.5597677149941276,0.5613989299230067,0.5473052329374919,0.5638783766149028,0.5426073339423202,0.5570272739136108,0.5296881117055984,0.5355604854495628
