,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,PseEIIP,TNC,RCKmer5,SCPseTNC,PCPseTNC,ANF,NAC,TAC
4mC_A.thaliana2,0.8325373662333068,0.8332891129388874,0.833554435305563,0.7964977447598832,0.6445122490492615,0.6549482621384983,0.6226231537985318,0.6231537985318829,0.636641018837888,0.6300079596710003,0.6246130715485982,0.6190855222428584,0.5635889272132307,0.5652250818077297
4mC_C.elegans2,0.901387326584177,0.8970753655793026,0.9021372328458943,0.8419572553430821,0.610236220472441,0.6546681664791901,0.578177727784027,0.5706786651668542,0.6036745406824147,0.5733033370828646,0.5787401574803149,0.6792275965504312,0.5028121484814398,0.516872890888639
4mC_C.equisetifolia,0.8032786885245902,0.7786885245901639,0.7540983606557377,0.6885245901639344,0.76775956284153,0.7513661202185792,0.7540983606557377,0.7650273224043715,0.7404371584699454,0.7622950819672131,0.7704918032786885,0.592896174863388,0.6967213114754098,0.7923497267759563
4mC_D.melanogaster2,0.9163952225841476,0.9121878393051032,0.9196525515743756,0.8621064060803475,0.7100977198697068,0.7148479913137894,0.6862106406080347,0.6905537459283387,0.6882464712269273,0.6898751357220413,0.6934039087947883,0.6586590662323561,0.5821118349619978,0.6292073832790445
4mC_E.coli2,0.9047619047619048,0.8928571428571429,0.8690476190476191,0.7420634920634921,0.6071428571428571,0.6349206349206349,0.5992063492063492,0.6190476190476191,0.5952380952380952,0.6706349206349206,0.6150793650793651,0.5992063492063492,0.5238095238095238,0.5952380952380952
4mC_F.vesca,0.8232463914915168,0.8212838693340087,0.8229931628260319,0.7241073689541656,0.6882755127880477,0.6939098505950874,0.6798556596606736,0.6802988098252722,0.6708660420359585,0.6765636870093694,0.6717523423651557,0.6246518105849582,0.6394656875158268,0.6242086604203596
4mC_G.pickeringii2,0.8289256198347107,0.821900826446281,0.815702479338843,0.7520661157024794,0.6012396694214877,0.5805785123966942,0.5871900826446281,0.5958677685950413,0.5855371900826446,0.5884297520661157,0.584297520661157,0.6008264462809917,0.5177685950413223,0.5495867768595041
4mC_G.subterraneus2,0.7562226866806004,0.755937678130344,0.7539426182785484,0.6769903097092913,0.5464563936918108,0.554056621698651,0.5302109063271898,0.5232756982709481,0.5558616758502755,0.5315409462283869,0.5213756412692381,0.572392171765153,0.5002850085502565,0.5527265817974539
4mC_S.cerevisiae,0.6875631951466128,0.6961577350859454,0.6814964610717897,0.5879676440849343,0.570273003033367,0.5692618806875632,0.5859453993933266,0.5697674418604651,0.5434782608695652,0.5813953488372093,0.5798786653185035,0.5803842264914054,0.5338725985844287,0.5364004044489383
4mC_Tolypocladium,0.7146678846404803,0.7157118621949629,0.7087955108965157,0.6228631084431685,0.5461307581886989,0.5606159467571448,0.5524598721127496,0.5601592065770586,0.5371264517812867,0.562769150463265,0.5550045674018008,0.5771238418374005,0.525120709904737,0.5347122536865457
