,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,PseEIIP,TNC,RCKmer5,SCPseTNC,PCPseTNC,ANF,NAC,TAC
4mC_A.thaliana2,0.8173255505439109,0.8203767577606792,0.816750685416114,0.755416998319625,0.639913328026886,0.6310692491377023,0.6170513840983461,0.6227115945874238,0.624745732731936,0.6241266472096931,0.6238613248430176,0.5960024763420889,0.5635447068187848,0.5657999469355267
4mC_C.elegans2,0.8794525684289464,0.8850768653918261,0.8807649043869517,0.7489688788901387,0.6151106111736033,0.6284214473190851,0.5598050243719535,0.5654293213348331,0.6070491188601425,0.5708661417322834,0.5688038995125609,0.6436070491188601,0.5028121484814398,0.5371203599550056
4mC_C.equisetifolia,0.7704918032786885,0.6939890710382514,0.7896174863387978,0.6912568306010929,0.7568306010928961,0.7513661202185792,0.7786885245901639,0.773224043715847,0.7049180327868853,0.773224043715847,0.7431693989071039,0.6338797814207651,0.7568306010928961,0.7486338797814208
4mC_D.melanogaster2,0.9049945711183496,0.9062160694896851,0.9063517915309446,0.8055103148751357,0.7011400651465798,0.7064332247557004,0.6839033659066233,0.6845819761129207,0.6851248642779587,0.6871606948968513,0.6817318132464713,0.628257328990228,0.5807546145494028,0.6300217155266015
4mC_E.coli2,0.8928571428571429,0.876984126984127,0.8611111111111112,0.746031746031746,0.5952380952380952,0.5952380952380952,0.6388888888888888,0.5992063492063492,0.5436507936507936,0.6309523809523809,0.6468253968253969,0.5912698412698413,0.5079365079365079,0.5912698412698413
4mC_F.vesca,0.8154596100278552,0.8128007090402634,0.8033679412509496,0.6991643454038997,0.685933147632312,0.6854266903013421,0.6768169156748544,0.6746011648518613,0.6817548746518106,0.6752342365155736,0.6784629020005064,0.6150291212965308,0.6402886806786529,0.6182577867814637
4mC_G.pickeringii2,0.8128099173553719,0.8132231404958677,0.8078512396694215,0.7326446280991735,0.5752066115702479,0.6008264462809917,0.5818181818181818,0.5892561983471074,0.5710743801652892,0.5809917355371901,0.5904958677685951,0.5636363636363636,0.5190082644628099,0.5727272727272728
4mC_G.subterraneus2,0.7380771423142695,0.7251567547026411,0.7319019570587117,0.6340490214706441,0.5498764962948889,0.5503515105453164,0.521945658369751,0.5230856925707771,0.5740072202166066,0.5313509405282159,0.5294508835265058,0.5341060231806954,0.49828994869846094,0.556526695800874
4mC_S.cerevisiae,0.7032355915065723,0.6744186046511628,0.6880687563195147,0.5717896865520729,0.5970677451971689,0.5682507583417593,0.5763397371081901,0.5864509605662285,0.5631951466127402,0.5626895854398383,0.5707785642062689,0.5985844287158746,0.538422649140546,0.519211324570273
4mC_Tolypocladium,0.7132324155030667,0.7030536343468615,0.7040976119013441,0.6176432206707556,0.5483492104919744,0.5666188176954196,0.5597677149941276,0.5563095393449041,0.5429335769280961,0.5563095393449041,0.5600939579799035,0.5523946235155944,0.5260994388620645,0.5184001043977554
