,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14
4mC_A.thaliana2,binary,ENAC,NCP,EIIP,Kmer4,CKSNAP,RCKmer5,SCPseTNC,PCPseTNC,TNC,PseEIIP,ANF,TAC,NAC
4mC_C.elegans2,binary,NCP,ENAC,EIIP,ANF,CKSNAP,Kmer4,RCKmer5,SCPseTNC,PCPseTNC,TNC,PseEIIP,TAC,NAC
4mC_C.equisetifolia,NCP,PseEIIP,TNC,SCPseTNC,ENAC,Kmer4,NAC,CKSNAP,TAC,PCPseTNC,RCKmer5,binary,EIIP,ANF
4mC_D.melanogaster2,NCP,binary,ENAC,EIIP,CKSNAP,Kmer4,SCPseTNC,RCKmer5,TNC,PseEIIP,PCPseTNC,TAC,ANF,NAC
4mC_E.coli2,ENAC,binary,NCP,EIIP,PCPseTNC,PseEIIP,SCPseTNC,TNC,Kmer4,CKSNAP,ANF,TAC,RCKmer5,NAC
4mC_F.vesca,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,RCKmer5,PCPseTNC,PseEIIP,SCPseTNC,TNC,NAC,TAC,ANF
4mC_G.pickeringii2,binary,ENAC,NCP,EIIP,CKSNAP,PCPseTNC,TNC,PseEIIP,SCPseTNC,Kmer4,TAC,RCKmer5,ANF,NAC
4mC_G.subterraneus2,ENAC,NCP,binary,EIIP,RCKmer5,TAC,CKSNAP,Kmer4,ANF,SCPseTNC,PCPseTNC,TNC,PseEIIP,NAC
4mC_S.cerevisiae,ENAC,NCP,binary,ANF,Kmer4,TNC,PseEIIP,EIIP,PCPseTNC,CKSNAP,RCKmer5,SCPseTNC,NAC,TAC
4mC_Tolypocladium,ENAC,NCP,binary,EIIP,CKSNAP,PCPseTNC,PseEIIP,TNC,SCPseTNC,ANF,Kmer4,RCKmer5,NAC,TAC
