,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,PseEIIP,TNC,RCKmer5,SCPseTNC,PCPseTNC,ANF,NAC,TAC
4mC_A.thaliana2,0.8259927478553108,0.8239586097107986,0.8258158662775272,0.7898204651985495,0.6368179004156717,0.6429645352436544,0.6265145485097727,0.6201025913151146,0.6396922260546564,0.6224020518263023,0.6220482886707349,0.6067038117980013,0.5654461837799594,0.565578844963297
4mC_C.elegans2,0.8942632170978627,0.8942632170978627,0.8933258342707162,0.8228346456692913,0.6257967754030747,0.6550431196100488,0.5674915635545557,0.5718035245594301,0.5980502437195351,0.5697412823397076,0.5650543682039745,0.6612298462692163,0.5063742032245969,0.5258717660292463
4mC_C.equisetifolia,0.8032786885245902,0.7950819672131147,0.7814207650273224,0.6584699453551912,0.7595628415300546,0.773224043715847,0.7650273224043715,0.7595628415300546,0.7431693989071039,0.76775956284153,0.76775956284153,0.6639344262295082,0.7486338797814208,0.7704918032786885
4mC_D.melanogaster2,0.9150380021715526,0.9162595005428882,0.9166666666666666,0.8610206297502715,0.7042616720955484,0.7133550488599348,0.6898751357220413,0.6885179153094463,0.7049402823018458,0.6866178067318133,0.6894679695982627,0.6492942453854506,0.5810260586319218,0.6294788273615635
4mC_E.coli2,0.9246031746031746,0.8690476190476191,0.8888888888888888,0.7420634920634921,0.5873015873015873,0.6111111111111112,0.6071428571428571,0.6309523809523809,0.5873015873015873,0.6031746031746031,0.6309523809523809,0.5674603174603174,0.5198412698412699,0.6309523809523809
4mC_F.vesca,0.8245125348189415,0.8145733096986579,0.8138769308685744,0.7094201063560395,0.6815016459863257,0.6877690554570778,0.677260065839453,0.6837173968093189,0.66991643454039,0.6874525196252216,0.684033932641175,0.6318055203849076,0.6422512028361611,0.6250316535831856
4mC_G.pickeringii2,0.8140495867768595,0.821900826446281,0.8107438016528926,0.7524793388429752,0.5818181818181818,0.5863636363636363,0.5818181818181818,0.5760330578512397,0.5752066115702479,0.5925619834710744,0.5950413223140496,0.5694214876033058,0.5338842975206611,0.5640495867768595
4mC_G.subterraneus2,0.7506175185255558,0.7520425612768383,0.739312179365381,0.6463993919817594,0.5510165304959149,0.5437963138894166,0.5265057951738552,0.5295458863765913,0.5581417442523275,0.51985559566787,0.5241307239217177,0.5541516245487365,0.499619988599658,0.5519665589967699
4mC_S.cerevisiae,0.7072800808897877,0.6632962588473206,0.6825075834175935,0.5712841253791708,0.5935288169868554,0.5889787664307381,0.5798786653185035,0.5813953488372093,0.5647118301314459,0.5874620829120324,0.5672396359959555,0.5920121334681496,0.544994944388271,0.5278058645096056
4mC_Tolypocladium,0.7147983818347905,0.7126451781286702,0.7146678846404803,0.6192091870024794,0.5496541824350777,0.5656400887380921,0.5649223541693854,0.5597677149941276,0.5512853973639567,0.5602244551742137,0.5600939579799035,0.5476967245204228,0.5282526425681848,0.5226412632128409
