,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14
4mC_A.thaliana2,ENAC,NCP,binary,EIIP,CKSNAP,RCKmer5,Kmer4,PseEIIP,SCPseTNC,PCPseTNC,TNC,ANF,TAC,NAC
4mC_C.elegans2,ENAC,binary,NCP,EIIP,ANF,CKSNAP,Kmer4,RCKmer5,TNC,SCPseTNC,PseEIIP,PCPseTNC,TAC,NAC
4mC_C.equisetifolia,ENAC,binary,NCP,CKSNAP,TAC,SCPseTNC,PCPseTNC,PseEIIP,Kmer4,TNC,NAC,RCKmer5,ANF,EIIP
4mC_D.melanogaster2,NCP,binary,ENAC,EIIP,CKSNAP,RCKmer5,Kmer4,PseEIIP,PCPseTNC,TNC,SCPseTNC,ANF,TAC,NAC
4mC_E.coli2,ENAC,NCP,binary,EIIP,TNC,PCPseTNC,TAC,CKSNAP,PseEIIP,SCPseTNC,Kmer4,RCKmer5,ANF,NAC
4mC_F.vesca,ENAC,binary,NCP,EIIP,CKSNAP,SCPseTNC,PCPseTNC,TNC,Kmer4,PseEIIP,RCKmer5,NAC,ANF,TAC
4mC_G.pickeringii2,binary,ENAC,NCP,EIIP,PCPseTNC,SCPseTNC,CKSNAP,Kmer4,PseEIIP,TNC,RCKmer5,ANF,TAC,NAC
4mC_G.subterraneus2,binary,ENAC,NCP,EIIP,RCKmer5,ANF,TAC,Kmer4,CKSNAP,TNC,PseEIIP,PCPseTNC,SCPseTNC,NAC
4mC_S.cerevisiae,ENAC,NCP,binary,Kmer4,ANF,CKSNAP,SCPseTNC,TNC,PseEIIP,EIIP,PCPseTNC,RCKmer5,NAC,TAC
4mC_Tolypocladium,ENAC,NCP,binary,EIIP,CKSNAP,PseEIIP,SCPseTNC,PCPseTNC,TNC,RCKmer5,Kmer4,ANF,NAC,TAC
