N,4mC_A.thaliana,4mC_C.elegans,4mC_D.melanogaster,4mC_E.coli,4mC_G.subterraneus,4mC_G.pickeringii
1,0.8659792803045168,0.9205153535852474,0.9154285714285715,0.971875,0.824971201843082,0.8849948078920041
2,0.8615057096888121,0.9151642380834774,0.9119285714285714,0.95625,0.8217714066299757,0.8883696780893042
3,0.8618294549307381,0.9233143986169424,0.9148928571428572,0.959375,0.8406501983873033,0.8881100726895119
4,0.8615645724600715,0.9161109739030213,0.9144285714285715,0.959375,0.8389223089722257,0.9101765316718587
5,0.8699917592120237,0.9237671853132461,0.9192321428571428,0.959375,0.8371944195571484,0.8997923156801662
6,0.8735627673350861,0.9228616119206389,0.9196607142857143,0.9625,0.8393062843977985,0.9075804776739356
7,0.8693442687281717,0.9250432205482835,0.9205178571428572,0.9625,0.8364264687060028,0.9047248182762202
8,0.8687262096299494,0.9271013418951182,0.9198392857142857,0.95625,0.8437220017918853,0.9093977154724818
9,0.8662637836989365,0.9274718037375483,0.9194285714285715,0.9375,0.8493536413669525,0.9109553478712358
10,0.8704724718439744,0.9194039680579567,0.9194107142857143,0.95625,0.8505055676436708,0.907840083073728
11,0.8722089235961229,0.921503251831728,0.91775,0.971875,0.8484576987072827,0.9117341640706127
12,0.8719047992779501,0.9237260228863093,0.9153214285714286,0.946875,0.8534493792397286,0.9039460020768432
13,0.8708452693952832,0.9259487939408908,0.9185,0.9375,0.8529374120056317,0.9080996884735203
14,0.8675783855903936,0.9211327899892978,0.9165714285714286,0.95625,0.8499296045053116,0.8992731048805815
best_n,6.0,9.0,7.0,1.0,12.0,11.0
