N,4mC_A.thaliana,4mC_C.elegans,4mC_D.melanogaster,4mC_E.coli,4mC_G.subterraneus,4mC_G.pickeringii
1,0.8630851940509359,0.9236025356054993,0.9116428571428571,0.946875,0.8192115704594906,0.8624091381100727
2,0.8647725934937017,0.9238495101671195,0.9229821428571429,0.95,0.8291949315243824,0.8730529595015576
3,0.8679315622179492,0.9228204494937021,0.9178035714285714,0.9625,0.8331626775886344,0.8907061266874351
4,0.8670584311109367,0.9248374084136001,0.9175714285714286,0.94375,0.8407141942915654,0.9018691588785047
5,0.8784778087352353,0.9322466452622047,0.9257321428571429,0.959375,0.8406501983873033,0.9114745586708204
6,0.877771455480124,0.9359924261134437,0.9272142857142858,0.95625,0.8378343785997696,0.8961578400830738
7,0.8811953066750383,0.9373919486292912,0.9288214285714286,0.953125,0.8387303212594394,0.8933021806853583
8,0.8785661028921241,0.9346340660245328,0.9274821428571428,0.95625,0.847561756047613,0.9047248182762202
9,0.8806949731193344,0.936609862517494,0.9294285714285714,0.934375,0.8545373096121848,0.9060228452751817
10,0.8807145940430875,0.9358689388326336,0.9296785714285715,0.95625,0.84506591578139,0.90134994807892
11,0.8806066789624456,0.9363217255289372,0.9293392857142857,0.959375,0.848585690515807,0.8979750778816199
12,0.8816858297688656,0.934881040586153,0.928125,0.94375,0.846601817483681,0.8958982346832814
13,0.8834517129066436,0.9329052440931918,0.9270714285714285,0.9375,0.8439139895046717,0.90134994807892
14,0.8807145940430875,0.9356631266979502,0.9292857142857143,0.95,0.8478817355689235,0.9101765316718587
best_n,13.0,7.0,10.0,3.0,9.0,5.0
