N,4mC_A.thaliana2,4mC_C.elegans2,4mC_C.equisetifolia,4mC_D.melanogaster2,4mC_E.coli2,4mC_F.vesca,4mC_G.pickeringii2,4mC_G.subterraneus2,4mC_S.cerevisiae,4mC_Tolypocladium
1,0.8184752807995047,0.8877015373078365,0.7431693989071039,0.9096091205211726,0.8968253968253969,0.8167257533552799,0.8082644628099174,0.7319019570587117,0.686046511627907,0.7082082735221192
2,0.8239143893163527,0.8860142482189727,0.8005464480874317,0.9161237785016286,0.873015873015873,0.8216004051658647,0.8099173553719008,0.7349420482614478,0.6956521739130435,0.7093827482709122
3,0.8240028301052446,0.890888638920135,0.8032786885245902,0.9117806731813246,0.876984126984127,0.8190681185110155,0.8326446280991735,0.7426372791183735,0.7012133468149646,0.7153203706120318
4,0.825904307066419,0.8869516310461192,0.7841530054644809,0.9123235613463626,0.873015873015873,0.8157128386933401,0.8359504132231405,0.7280068402052061,0.7027300303336703,0.713754404280308
5,0.8212611656495976,0.8878890138732658,0.7814207650273224,0.9130021715526602,0.8849206349206349,0.8215370979994936,0.8239669421487603,0.7304769143074292,0.704752275025278,0.7153203706120318
6,0.8231626426107721,0.884514435695538,0.7950819672131147,0.9111020629750272,0.8809523809523809,0.8255887566472525,0.815702479338843,0.7471974159224777,0.7077856420626896,0.7108182174083257
7,0.8167949058105598,0.8828271466066742,0.7814207650273224,0.9079804560260586,0.8849206349206349,0.819764497341099,0.8107438016528926,0.740832224966749,0.7012133468149646,0.7155813650006525
8,0.8128592907048731,0.8758905136857893,0.7896174863387978,0.9029587404994571,0.8650793650793651,0.8165358318561661,0.8256198347107438,0.740642219266578,0.7052578361981799,0.7169515855409109
9,0.8121075439992925,0.8772028496437946,0.7923497267759563,0.9022801302931596,0.876984126984127,0.8184350468473031,0.8070247933884298,0.7397871936158085,0.704752275025278,0.7179955630953935
10,0.813964800566021,0.8715785526809149,0.7978142076502732,0.9077090119435396,0.873015873015873,0.8159027601924538,0.8041322314049587,0.7278168345050352,0.7072800808897877,0.7116012005741876
11,0.8094100999380914,0.8725159355080615,0.7923497267759563,0.8997014115092291,0.873015873015873,0.8138769308685744,0.8012396694214876,0.7337070112103363,0.6870576339737108,0.7153203706120318
12,0.813964800566021,0.8691413573303337,0.7978142076502732,0.8999728555917481,0.8928571428571429,0.8146999240314003,0.7991735537190082,0.7237317119513585,0.6905965621840243,0.6991387185175518
13,0.811842221632617,0.8710161229846269,0.7759562841530054,0.8984799131378935,0.8611111111111112,0.812990630539377,0.7946280991735537,0.7350370511115334,0.6941354903943378,0.7126451781286702
14,0.8119748828159548,0.8715785526809149,0.7431693989071039,0.9041802388707926,0.8690476190476191,0.8192580400101291,0.7913223140495868,0.7203116093482804,0.6926188068756319,0.7031841315411719
best_n,4.0,3.0,3.0,2.0,1.0,6.0,4.0,6.0,6.0,9.0
